# parameters.csv — справочник ПАРАМЕТРОВ (ARCHITECTURE.md §3.2, узел Parameter).
# КУРИРОВАННЫЙ СТАРТОВЫЙ набор горно-металлургического домена Норникеля.
# ЗАМЕНИТЬ файлами кейса — формат тот же (README_DB-стиль).
# ВАЖНО (§3.1): узел Parameter — это ТОЛЬКО ТИП параметра. Конкретное измерение живёт
# интервалом на ребре HAS_CONDITION/PRODUCES, а не здесь.
# Колонки согласованы с CanonEntity и схемой узла Parameter (§3.2):
#   canonical_id — стабильный ключ (canonical_id, §3.4)
#   name_ru, name_en — канонические имена; en-алиасы дозаполняет load_references из глоссария
#   aliases — синонимы через ';' ВНУТРИ ячейки (§4.4)
#   category — concentration/temperature/flow_rate/pressure/ph/economic/environment/other (§3.2)
#   canonical_unit — каноническая единица категории (units.yaml); пусто для категориальных/environment
canonical_id,name_ru,name_en,aliases,category,canonical_unit
gold_grade,содержание золота,gold grade,содержание Au,other,%
pgm_grade,содержание МПГ,PGM grade,содержание платиновых металлов;содержание суммы ПМ;содержание Pt+Pd;содержание Pt+Pd+Au,other,%
precious_metal_grade,содержание драгоценных металлов,precious metal grade,содержание ДМ,other,%
base_metal_grade,содержание цветных металлов,base metal grade,концентрация цветных металлов;содержание Cu+Ni,other,%
nickel_recovery,извлечение никеля,nickel recovery,извлечение Ni,other,%
copper_recovery,извлечение меди,copper recovery,извлечение Cu,other,%
cobalt_recovery,извлечение кобальта,cobalt recovery,извлечение Co,other,%
pgm_recovery,извлечение платиновых металлов,PGM recovery,извлечение платины и палладия;извлечение Pt и Pd,other,%
melting_temperature,температура плавления,melting temperature,температура плавления железа;температура плавления донной фазы,temperature,°C
liquidus_temperature,температура ликвидус,liquidus temperature,температура ликвидус сплава;температура ликвидус металлической взвеси;liquidus temperature,temperature,°C
slag_temperature,температура шлака,slag temperature,температура процесса обеднения,temperature,°C
slag_viscosity,вязкость шлака,slag viscosity,,viscosity,Па·с
alloy_viscosity,вязкость сплава,alloy viscosity,,viscosity,Па·с
dynamic_viscosity,динамическая вязкость,dynamic viscosity,кинематическая вязкость,viscosity,Па·с
slag_density,плотность шлака,slag density,,density,г/см³
alloy_density,плотность сплава,alloy density,,density,г/см³
holding_time,время выдержки,holding time,время выдержки расплава,time,мин
alloy_yield,выход сплава,alloy yield,,other,%
liquid_solid_ratio,отношение Ж:Т,liquid-to-solid ratio,Ж:Т;соотношение Ж/Т;отношение жидкое-твёрдое,other,
chlorine_feed_rate,скорость подачи хлора,chlorine feed rate,расход хлора,flow_rate,м³/ч
particle_size,размер частиц,particle size,крупность металлических корольков;эквивалентный радиус королька,size,мкм
principal_stress,главное напряжение,principal stress,максимальное главное напряжение;минимальное главное напряжение;промежуточное главное напряжение,pressure,МПа
rock_stress,напряжение в массиве,rock stress,напряжения в массиве;напряжённо-деформированное состояние;НДС,pressure,МПа
seismic_energy,энергия сейсмособытия,seismic energy,энергия исследуемого сейсмособытия,other,Дж
wave_velocity,скорость продольных волн,wave velocity,скорость смещения;пиковая скорость,other,м/с
dip_angle,угол падения,dip angle,наклон скважин,other,град
# --- Пополнение 04.07 (консолидация по графу, партия №1: геомеханика/ТЭП). ---
rock_quality_designation,RQD,rock quality designation,показатель качества породы;индекс RQD,other,%
economic_effect,экономический эффект,economic effect,экономический эффект от внедрения,economic,руб/т
